idx,country,capital,image
67,Akrotiri and Dhekelia,Episkopi Cantonment,http://www.topdesignmag.com/wp-content/uploads/2011/01/681.jpg
68,Christmas Island,Flying Fish Cove,http://www.topdesignmag.com/wp-content/uploads/2011/01/691.jpg
69,Sierra Leone,Freetown,http://www.topdesignmag.com/wp-content/uploads/2011/01/70.jpg
70,Tuvalu,Funafuti,http://www.topdesignmag.com/wp-content/uploads/2011/01/713.jpg
71,Botswana,Gaborone,http://www.topdesignmag.com/wp-content/uploads/2011/01/721.jpg
72,Cayman Islands,George Town,http://www.topdesignmag.com/wp-content/uploads/2011/01/731-1024x768.jpg
73,Guyana,Georgetown,http://www.topdesignmag.com/wp-content/uploads/2011/01/741.jpg
74,Gibraltar,Gibraltar,http://www.topdesignmag.com/wp-content/uploads/2011/01/751.jpg
75,South Georgia and the South Sandwich Islands,Grytviken,http://www.topdesignmag.com/wp-content/uploads/2011/01/761.jpg
76,Guatemala,Guatemala City,http://www.topdesignmag.com/wp-content/uploads/2011/01/771.jpg
77,Saint Barthélemy,Gustavia,http://www.topdesignmag.com/wp-content/uploads/2011/01/781.jpg
78,Guam,Hagåtña,http://www.topdesignmag.com/wp-content/uploads/2011/01/791.jpg
79,Bermuda,Hamilton,http://www.topdesignmag.com/wp-content/uploads/2011/01/80.jpg
80,Vietnam,Hanoi,http://www.topdesignmag.com/wp-content/uploads/2011/01/812.jpg
81,Zimbabwe,Harare,http://www.topdesignmag.com/wp-content/uploads/2011/01/822.jpg
82,Somali,Hargeisa,http://www.topdesignmag.com/wp-content/uploads/2011/01/831.jpg
83,Cuba,Havana,http://www.topdesignmag.com/wp-content/uploads/2011/01/841.jpg
84,Finland,Helsinki,http://www.topdesignmag.com/wp-content/uploads/2011/01/851.jpg
85,Solomon Islands,Honiara,http://www.topdesignmag.com/wp-content/uploads/2011/01/861.jpg
86,Pakistan,Islamabad,http://www.topdesignmag.com/wp-content/uploads/2011/01/871.jpg
87,Indonesia,Jakarta,http://www.topdesignmag.com/wp-content/uploads/2011/01/881.jpg
88,Saint Helena,Jamestown,http://www.topdesignmag.com/wp-content/uploads/2011/01/891.jpg
89,Israel,Jerusalem,http://www.topdesignmag.com/wp-content/uploads/2011/01/90.jpg
